transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs
180,2022-11-05,10:47:00,117,Male,41,Clothing,3,300,129
522,2022-07-09,11:00:00,52,Male,46,Beauty,3,500,145
559,2022-12-12,10:48:00,5,Female,40,Clothing,4,300,84
1180,2022-01-06,08:53:00,85,Male,41,Clothing,3,300,129
1522,2022-11-14,08:35:00,48,Male,46,Beauty,3,500,235
1559,2022-08-20,07:40:00,49,Female,40,Clothing,4,300,144
163,2022-10-31,09:38:00,144,Female,64,Clothing,3,50,23
303,2022-04-22,11:09:00,54,Male,19,Electronics,3,30,14.7
421,2022-04-08,08:43:00,66,Female,37,Clothing,3,500,235
979,2022-05-18,10:18:00,6,Female,19,Beauty,1,25,10.5
1163,2022-05-04,10:52:00,120,Female,64,Clothing,3,50,27
1303,2022-03-19,08:59:00,58,Male,19,Electronics,3,30,15
1421,2022-01-17,07:07:00,59,Female,37,Clothing,3,500,185
1979,2022-08-17,11:34:00,102,Female,19,Beauty,1,25,7.75
610,2022-12-18,06:56:00,137,Female,26,Beauty,2,300,93
1610,2022-11-23,10:18:00,1,Female,26,Beauty,2,300,102
32,2022-07-16,09:11:00,150,Male,30,Beauty,3,30,8.4
231,2022-07-09,07:02:00,50,Female,23,Clothing,3,50,26.5
683,2022-03-06,10:22:00,82,Male,38,Beauty,2,500,175
1032,2022-04-01,08:15:00,1,Male,30,Beauty,3,30,10.5
1231,2022-01-29,07:05:00,12,Female,23,Clothing,3,50,23
1683,2022-05-04,07:19:00,98,Male,38,Beauty,2,500,220
367,2022-12-30,07:03:00,123,Female,57,Electronics,1,50,18
391,2022-03-25,07:37:00,68,Male,19,Beauty,2,25,6.25
432,2022-03-10,11:31:00,17,Female,,Electronics,2,500,190
1367,2022-04-15,11:38:00,16,Female,,Electronics,1,50,15.5
1391,2022-03-01,11:29:00,130,Male,,Beauty,2,25,9.25
1432,2022-12-25,06:24:00,67,Female,,Electronics,2,500,245
150,2022-04-13,08:25:00,89,Female,,Electronics,4,30,16.2
845,2022-10-27,10:12:00,25,Male,,Clothing,1,500,145
1150,2022-08-22,10:04:00,77,Female,,Electronics,4,30,10.2
1845,2022-05-24,07:06:00,94,Male,,Clothing,1,500,185
797,2022-09-16,06:38:00,116,Male,,Clothing,3,25,10.75
921,2022-09-28,09:34:00,101,Male,,Electronics,3,25,8
1797,2022-04-16,11:47:00,147,Male,40,Clothing,3,25,12.25
1921,2022-02-08,07:01:00,77,Male,51,Electronics,3,25,7.5
291,2022-11-22,08:29:00,15,Male,60,Clothing,2,300,126
907,2022-09-02,06:16:00,145,Female,45,Electronics,1,25,8.5
1291,2022-04-04,11:19:00,72,Male,60,Clothing,2,300,153
1907,2022-11-17,11:21:00,115,Female,45,Electronics,1,25,9
860,2022-04-11,08:58:00,85,Male,63,Clothing,4,50,16
1860,2022-03-12,11:21:00,57,Male,63,Clothing,4,50,18
184,2022-02-13,06:44:00,128,Male,31,Electronics,4,50,17
734,2022-03-12,08:54:00,77,Female,27,Clothing,1,30,15.6
1184,2022-02-12,08:28:00,23,Male,31,Electronics,4,50,27.5
1734,2022-02-28,08:58:00,72,Female,27,Clothing,1,30,14.4
225,2022-03-05,07:37:00,85,Female,57,Beauty,4,25,12.75
679,2022-08-26,08:59:00,64,Female,18,Beauty,,,
746,2022-07-05,11:33:00,42,Female,33,Clothing,,,
1225,2022-02-02,09:51:00,137,Female,57,Beauty,,,
1679,2022-09-23,08:08:00,71,Female,18,Beauty,3,30,15.3
1746,2022-06-13,07:59:00,88,Female,33,Clothing,3,30,10.8
3,2022-06-14,07:08:00,114,Male,50,Electronics,1,30,8.1
464,2022-03-06,11:13:00,24,Male,38,Electronics,2,300,75
484,2022-03-13,07:52:00,135,Female,19,Clothing,4,300,75
591,2022-03-21,08:38:00,94,Male,53,Electronics,4,25,6.5
1003,2022-01-26,07:59:00,80,Male,50,Electronics,1,30,15.9
1464,2022-11-13,10:06:00,80,Male,38,Electronics,2,300,126
1484,2022-11-23,09:29:00,22,Female,19,Clothing,4,300,147
1591,2022-09-29,11:00:00,62,Male,53,Electronics,4,25,7
21,2022-07-11,07:33:00,59,Female,50,Beauty,1,500,275
708,2022-04-06,08:38:00,62,Female,43,Beauty,3,300,87
713,2022-04-16,11:43:00,39,Male,34,Beauty,3,25,11.25
768,2022-06-27,06:50:00,58,Female,24,Beauty,3,25,10.5
1021,2022-06-11,10:19:00,44,Female,50,Beauty,1,500,155
1708,2022-02-08,07:47:00,41,Female,43,Beauty,3,300,162
1713,2022-10-03,10:10:00,90,Male,34,Beauty,3,25,10.75
1768,2022-07-31,09:52:00,85,Female,24,Beauty,3,25,8.75
499,2022-04-03,10:52:00,15,Male,46,Beauty,2,30,16.5
697,2022-12-25,07:52:00,152,Male,53,Clothing,1,500,200
831,2022-11-30,11:49:00,149,Male,27,Electronics,4,25,13.75
1499,2022-09-23,09:46:00,3,Male,46,Beauty,2,30,11.7
1697,2022-12-18,08:22:00,54,Male,53,Clothing,1,500,265
1831,2022-03-26,10:54:00,80,Male,27,Electronics,4,25,6.5
15,2022-07-01,11:50:00,75,Female,42,Electronics,4,500,210
743,2022-08-07,07:54:00,55,Female,34,Beauty,4,500,260
1015,2022-03-09,11:53:00,94,Female,42,Electronics,4,500,200
1743,2022-10-26,09:37:00,47,Female,34,Beauty,4,500,250
14,2022-05-18,07:11:00,8,Male,64,Clothing,4,30,13.2
103,2022-11-12,10:05:00,33,Female,59,Clothing,1,25,10.75
238,2022-05-10,11:52:00,20,Female,39,Beauty,1,500,150
986,2022-08-01,09:35:00,65,Female,49,Clothing,2,500,200
1014,2022-02-04,10:26:00,147,Male,64,Clothing,4,30,11.4
1103,2022-02-14,07:11:00,61,Female,59,Clothing,1,25,6.75
1238,2022-09-17,07:38:00,129,Female,39,Beauty,1,500,165
1986,2022-09-14,08:28:00,29,Female,49,Clothing,2,500,145
438,2022-08-31,10:15:00,88,Female,42,Clothing,1,30,15.9
1438,2022-01-07,10:00:00,72,Female,42,Clothing,1,30,13.8
475,2022-08-12,10:39:00,78,Male,26,Clothing,3,25,9
505,2022-12-17,07:25:00,86,Male,24,Beauty,1,50,19.5
1475,2022-10-04,07:03:00,132,Male,26,Clothing,3,25,10.75
1505,2022-10-30,08:00:00,98,Male,24,Beauty,1,50,14.5
344,2022-07-17,09:47:00,69,Female,42,Beauty,1,30,7.5
448,2022-03-19,09:36:00,86,Female,54,Beauty,2,30,16.2
742,2022-03-19,06:08:00,37,Female,38,Electronics,4,500,195
1344,2022-12-18,06:12:00,144,Female,42,Beauty,1,30,11.1
1448,2022-05-16,06:28:00,51,Female,54,Beauty,2,30,9.3
1742,2022-11-22,08:25:00,18,Female,38,Electronics,4,500,220
445,2022-04-14,10:48:00,132,Female,53,Electronics,1,300,138
787,2022-06-10,10:42:00,25,Male,41,Electronics,1,25,13.75
1445,2022-04-19,06:16:00,31,Female,53,Electronics,1,300,129
1787,2022-05-30,07:42:00,104,Male,41,Electronics,1,25,10
49,2022-09-17,10:33:00,37,Female,54,Electronics,2,500,255
420,2022-01-02,10:53:00,28,Female,22,Clothing,4,500,200
519,2022-04-08,10:17:00,52,Female,36,Electronics,4,30,16.5
1049,2022-05-16,06:36:00,143,Female,54,Electronics,2,500,125
1420,2022-04-15,07:01:00,138,Female,22,Clothing,4,500,205
1519,2022-01-08,07:35:00,139,Female,36,Electronics,4,30,9.3
64,2022-11-15,06:34:00,7,Male,49,Clothing,4,25,8.5
592,2022-12-26,09:15:00,77,Female,46,Beauty,4,500,275
912,2022-10-31,06:18:00,122,Male,51,Beauty,3,50,20.5
1064,2022-04-14,10:38:00,49,Male,49,Clothing,4,25,13.75
1592,2022-03-16,09:08:00,81,Female,46,Beauty,4,500,155
1912,2022-05-27,07:40:00,146,Male,51,Beauty,3,50,22
134,2022-08-25,09:03:00,132,Male,49,Electronics,1,50,16
1134,2022-08-05,09:04:00,106,Male,49,Electronics,1,50,24
288,2022-05-02,09:59:00,27,Male,28,Clothing,4,30,12
323,2022-01-21,08:22:00,97,Female,29,Beauty,3,300,150
618,2022-10-13,10:22:00,5,Female,27,Beauty,1,50,26
720,2022-04-08,08:50:00,116,Female,56,Beauty,3,500,235
1288,2022-04-05,11:56:00,26,Male,28,Clothing,4,30,9
1323,2022-08-15,10:49:00,136,Female,29,Beauty,3,300,114
1618,2022-09-15,06:27:00,118,Female,27,Beauty,1,50,13.5
1720,2022-10-10,08:51:00,28,Female,56,Beauty,3,500,190
415,2022-01-05,09:59:00,85,Male,53,Clothing,2,30,8.1
736,2022-12-18,08:30:00,97,Male,29,Clothing,4,25,9.75
929,2022-03-11,10:18:00,40,Female,23,Beauty,3,25,10.5
1415,2022-03-06,07:11:00,146,Male,53,Clothing,2,30,15.3
1736,2022-08-28,08:57:00,87,Male,29,Clothing,4,25,10.25
1929,2022-09-15,06:50:00,62,Female,23,Beauty,3,25,12.75
264,2022-12-26,11:03:00,111,Male,47,Clothing,3,300,150
913,2022-10-12,10:52:00,78,Male,29,Electronics,3,30,16.5
940,2022-01-05,08:11:00,46,Female,20,Electronics,1,30,9.6
1264,2022-05-27,09:23:00,82,Male,47,Clothing,3,300,123
1913,2022-06-23,07:10:00,101,Male,29,Electronics,3,30,14.1
1940,2022-06-15,09:47:00,56,Female,20,Electronics,1,30,11.1
101,2022-01-08,08:46:00,24,Male,32,Clothing,2,300,135
1101,2022-05-17,07:47:00,15,Male,32,Clothing,2,300,132
189,2022-01-02,09:44:00,143,Male,63,Beauty,1,50,14.5
317,2022-05-04,07:54:00,117,Male,22,Electronics,3,30,12
322,2022-10-19,06:11:00,13,Male,51,Electronics,1,500,125
329,2022-10-27,07:42:00,52,Female,46,Electronics,4,25,8
1189,2022-12-07,06:08:00,104,Male,63,Beauty,1,50,20.5
1317,2022-08-25,08:02:00,144,Male,22,Electronics,3,30,12
1322,2022-11-14,09:56:00,10,Male,51,Electronics,1,500,250
1329,2022-01-27,10:39:00,119,Female,46,Electronics,4,25,9.25
235,2022-03-10,10:13:00,132,Female,23,Electronics,2,500,275
300,2022-01-08,09:41:00,138,Female,19,Electronics,4,50,26.5
964,2022-08-26,08:18:00,15,Male,24,Clothing,3,300,156
1235,2022-04-04,06:44:00,87,Female,23,Electronics,2,500,220
1300,2022-08-08,08:57:00,7,Female,19,Electronics,4,50,24
1964,2022-08-02,08:27:00,115,Male,24,Clothing,3,300,111
269,2022-09-19,11:31:00,87,Male,25,Clothing,4,500,250
320,2022-04-20,08:35:00,57,Female,28,Electronics,4,300,159
673,2022-07-04,10:14:00,18,Female,43,Clothing,3,500,270
1269,2022-01-01,08:09:00,71,Male,25,Clothing,4,500,145
1320,2022-11-02,11:55:00,102,Female,28,Electronics,4,300,84
1673,2022-06-14,07:36:00,42,Female,43,Clothing,3,500,185
142,2022-04-08,10:05:00,61,Male,35,Electronics,4,300,138
223,2022-01-15,11:18:00,61,Female,64,Clothing,1,25,12
666,2022-03-03,10:59:00,49,Male,51,Electronics,3,50,16
1142,2022-11-09,09:49:00,2,Male,35,Electronics,4,300,114
1223,2022-02-20,07:40:00,106,Female,64,Clothing,1,25,9.75
1666,2022-12-08,10:10:00,125,Male,51,Electronics,3,50,21
107,2022-10-06,09:18:00,75,Female,21,Clothing,4,300,78
933,2022-09-19,07:53:00,81,Male,22,Beauty,1,30,12.9
1107,2022-12-31,11:14:00,62,Female,21,Clothing,4,300,102
1933,2022-01-12,11:04:00,121,Male,22,Beauty,1,30,14.4
237,2022-04-11,08:54:00,105,Female,50,Beauty,2,500,165
335,2022-02-02,09:23:00,2,Female,47,Beauty,4,30,10.8
1237,2022-02-23,09:20:00,48,Female,50,Beauty,2,500,215
1335,2022-05-27,08:45:00,117,Female,47,Beauty,4,30,8.7
63,2022-02-03,11:49:00,127,Male,57,Electronics,2,25,6.25
195,2022-08-14,11:51:00,10,Male,52,Clothing,1,30,9.3
333,2022-10-06,08:15:00,21,Female,54,Electronics,4,300,99
379,2022-06-01,07:28:00,76,Female,47,Clothing,1,25,8.5
490,2022-01-27,06:07:00,43,Male,34,Clothing,3,50,18.5
530,2022-05-01,07:52:00,8,Female,18,Electronics,4,30,9
740,2022-12-01,06:58:00,33,Female,25,Beauty,4,50,13
793,2022-05-27,10:53:00,1,Male,54,Beauty,1,30,14.7
1063,2022-08-04,10:26:00,56,Male,57,Electronics,2,25,11
1195,2022-09-21,07:07:00,55,Male,52,Clothing,1,30,12
1333,2022-11-01,11:38:00,151,Female,54,Electronics,4,300,165
1379,2022-01-02,06:23:00,69,Female,47,Clothing,1,25,7.25
1490,2022-10-26,07:15:00,155,Male,34,Clothing,3,50,17
1530,2022-12-10,08:17:00,93,Female,18,Electronics,4,30,12.3
1740,2022-07-16,06:01:00,66,Female,25,Beauty,4,50,27
1793,2022-12-11,06:05:00,88,Male,54,Beauty,1,30,10.8
85,2022-09-03,08:05:00,68,Male,31,Clothing,3,50,19
232,2022-08-12,07:14:00,150,Female,43,Beauty,1,25,12.75
240,2022-11-05,11:49:00,95,Female,23,Beauty,1,300,123
993,2022-09-07,09:21:00,134,Female,48,Electronics,3,50,17
1085,2022-08-12,09:29:00,76,Male,31,Clothing,3,50,17
1232,2022-05-23,08:05:00,146,Female,43,Beauty,1,25,6.25
1240,2022-08-07,07:42:00,144,Female,23,Beauty,1,300,90
1993,2022-12-29,11:53:00,123,Female,48,Electronics,3,50,26.5
366,2022-10-29,09:32:00,116,Male,57,Clothing,2,50,17.5
372,2022-06-19,11:45:00,27,Female,24,Beauty,3,500,140
596,2022-02-12,08:44:00,87,Female,64,Electronics,1,300,93
936,2022-01-05,10:51:00,143,Male,57,Beauty,4,50,19.5
1366,2022-01-01,11:34:00,25,Male,57,Clothing,2,50,23.5
1372,2022-03-18,10:53:00,60,Female,24,Beauty,3,500,145
1596,2022-03-28,06:22:00,7,Female,64,Electronics,1,300,141
1936,2022-06-19,11:32:00,60,Male,57,Beauty,4,50,12.5
284,2022-11-12,09:17:00,129,Male,43,Clothing,4,50,20.5
434,2022-10-26,06:09:00,50,Female,43,Electronics,2,25,8.25
775,2022-05-06,11:07:00,98,Female,46,Electronics,4,25,9.5
977,2022-07-26,08:35:00,46,Female,35,Electronics,3,25,13.75
1284,2022-12-16,11:43:00,145,Male,43,Clothing,4,50,18
1434,2022-02-04,10:02:00,147,Female,43,Electronics,2,25,7
1775,2022-12-18,08:04:00,78,Female,46,Electronics,4,25,13.75
1977,2022-08-05,10:46:00,63,Female,35,Electronics,3,25,12
649,2022-06-21,08:17:00,44,Female,58,Clothing,2,300,135
1649,2022-10-21,07:44:00,72,Female,58,Clothing,2,300,75
54,2022-10-20,10:17:00,142,Female,38,Electronics,3,500,200
68,2022-12-15,09:06:00,146,Male,25,Electronics,1,300,84
192,2022-11-08,08:05:00,134,Male,62,Beauty,2,50,13
1054,2022-01-10,09:24:00,49,Female,38,Electronics,3,500,140
1068,2022-09-14,10:11:00,136,Male,25,Electronics,1,300,111
1192,2022-03-29,08:41:00,37,Male,62,Beauty,2,50,20.5
331,2022-08-16,08:33:00,28,Male,28,Electronics,3,30,10.2
346,2022-09-05,06:54:00,38,Male,59,Clothing,2,500,215
657,2022-01-29,08:53:00,46,Male,40,Clothing,1,25,8
732,2022-10-13,08:45:00,136,Male,61,Electronics,2,500,250
972,2022-08-16,11:42:00,139,Male,49,Beauty,4,25,6.75
1331,2022-05-15,09:29:00,36,Male,28,Electronics,3,30,13.8
1346,2022-04-10,10:01:00,112,Male,59,Clothing,2,500,130
1657,2022-08-09,10:05:00,61,Male,40,Clothing,1,25,8
1732,2022-02-25,07:05:00,55,Male,61,Electronics,2,500,215
1972,2022-12-21,06:39:00,5,Male,49,Beauty,4,25,9.25
714,2022-10-29,08:50:00,20,Female,18,Clothing,1,500,190
1714,2022-11-23,06:07:00,111,Female,18,Clothing,1,500,245
193,2022-03-27,10:40:00,55,Male,35,Beauty,3,500,180
577,2022-04-21,11:55:00,45,Male,21,Beauty,4,500,215
848,2022-01-24,10:46:00,15,Female,63,Clothing,3,25,9.75
945,2022-10-01,10:01:00,120,Male,30,Beauty,1,25,13.25
1193,2022-05-11,11:31:00,50,Male,35,Beauty,3,500,145
1577,2022-09-11,06:22:00,145,Male,21,Beauty,4,500,160
1848,2022-12-27,10:16:00,63,Female,63,Clothing,3,25,12.5
